PLOT	Biomass_log	Biomass_N	Biomass_P	Biomass_K	Biomass_Ca_log	Biomass_N/P	Biomass_N/K	Biomass_K/P	Radish_log	Radish_N_log	Radish_P	Radish_K	Radish_Ca	Radish_N/P	Radish_N/K	Radish_K/P	Soil_P_log	Soil_K_log	Soil_Ca_log	Soil_N.tot_log	Soil_C/N	Soil_N/P	Soil_N/K	Soil_K/P	Soil_depth_categ	pH_KCl	CV_pH_KCl	pH-category	Slope	Altitude	Canopy_E3	Radiation	Heat	TransDir     	TransDif     	TransTot     	CanopyOpenPerc	TransDirPerc	TransDifPerc	TransTotPerc	Product-category	Moisture-predic	cambisol	luvisol	lithosol+ranker	skeletic_r	rendzina	heter	X	Y
1	1.14	2.1	0.2	2.5	0.294466226	10.5	0.84	12.5	0.301029996	0.705007959	0.51	5.98	5.15	7.980392157	0.680602007	11.7254902	1.079181246	2.480006943	3.625826713	0.139249218	33.81	0.034	0.001	27.364	5	5.28	0.282669001	1	4	412	80	0.8813	0.8575	3.72	2.83	6.55	9.46	18.03	13.78	15.91	1	1.947982485	0	0	0	0	1	39	-592850.95	-1158540.99
2	1.037	2.16	0.19	2.11	0.152288344	11.368	1.024	11.105	0.24674471	0.804820679	0.53	6.92	3.28	10.1509434	0.777456647	13.05660377	1.146128036	2.250420002	2.731588765	0.138618434	19.867	0.029	0.002	13.615	4.5	3.24	0.078688573	0	24	458	80	0.9329	0.8138	4.05	2.83	6.88	9.81	19.7	14.27	17.03	1	1.694735629	0	1	0	0	0	74	-599044.55	-1144730.39
3	1.21	1.2	0.18	1.76	0.260071388	6.667	0.682	9.778	0.388278863	0.779596491	0.66	9.78	2.97	7.606060606	0.513292434	14.81818182	1.544068044	2.416640507	3.249198357	0.174350597	18.968	0.015	0.002	7.647	3	4.01	0.102051599	1	13	414	80	0.9161	0.8503	4.38	2.94	7.31	10.88	21.21	14.51	17.89	1	1.430854789	0	0	1	0	0	43	-599503.18	-1142412.28
4	1.23	1.7	0.22	1.56	0.178976947	7.727	1.09	7.091	0.372912003	0.758154622	0.92	7.81	3.59	5.141304348	0.605633803	8.489130435	2.193124598	2.371067862	3.12515583	0.127104798	18.529	0.002	0.001	1.51	3	3.77	0.188291996	1	21	379	75	0.9305	0.9477	3.48	2.96	6.44	10.67	16.87	15.01	15.96	1	1.271778702	0	0	1	0	0	65	-604965.77	-1141877.74
5	1.336	1.78	0.2	1.86	0.056904851	8.9	0.957	9.3	0.372912003	0.805500858	0.77	6.51	3.17	7	0.827956989	8.454545455	2.187520721	2.267171728	2.750508395	0.146128036	19.675	0.003	0.002	1.203	3	3.5	0.025719426	0	0	374	70	0.8691	0.8691	3.73	3.15	6.88	10.83	18.08	15.33	16.71	1	1.494057575	1	0	0	0	0	45	-618065.73	-1176355.32
6	1.676	1.96	0.2	2.25	0.086359831	9.8	0.871	11.25	0.356981401	0.752816431	0.62	8.39	3.43	7.516129032	0.555423123	13.53225806	1.857332496	2.411619706	2.945960704	0.131618664	17.175	0.005	0.001	3.62	6	3.8	0.047514395	1	10	380	65	0.9178	0.8834	3.59	3.4	6.99	11.24	17.39	16.54	16.97	0	1.309656803	1	0	0	0	0	41	-618271.34	-1176549.97
7	1.701	1.76	0.23	2	0.093421685	7.652	0.88	8.696	0.225309282	0.778874472	0.57	0.55	3.36	8.789473684	9.109090909	0.964912281	1.77815125	2.344392274	2.814913181	0.156851901	17.655	0.007	0.002	3.729	7	3.48	0.049648976	0	6	373	65	0.8294	0.8034	4.49	2.87	7.36	9.47	21.77	14.03	17.92	0	1.360306174	1	0	0	0	0	29	-618510.49	-1176678.71
8	1.696	1.5	0.19	2.11	0.11058971	7.895	0.711	11.105	0.267171728	0.791690649	0.57	7	3.01	9.105263158	0.741428571	12.28070175	1.505149978	2.307496038	3.104828404	0.16790781	17.86	0.015	0.002	6.516	5	3.68	0.056140655	0	0	390	85	0.8691	0.8691	3.97	2.99	6.96	10.19	19.24	14.54	16.89	1	1.667389611	1	0	0	0	0	21	-615275.08	-1175329.19
9	1.17	1.23	0.16	2.01	0.136720567	7.688	0.612	12.563	0.267171728	0.764922985	0.63	8.29	2.93	7.650793651	0.581423402	13.15873016	1.672097858	2.72916479	3.40277707	0.201397124	21.017	0.013	0.001	11.63	3.5	4.24	0.098014251	1	38	255	80	0.6141	0.4226	3.61	2.92	6.53	11.75	19.83	16.38	18.13	1	1.11429622	0	0	1	0	0	50	-621870.24	-1166014.49
10	1.904	1.36	0.18	1.2	0.103803721	7.556	1.133	6.667	0.356981401	0.939519253	0.62	7.73	3.48	12.41935484	0.996119017	12.46774194	1.968482949	2.445604203	3.101059355	0.161368002	20.022	0.005	0.002	3.022	5	4.01	0.153180349	1	13	340	70	0.9053	0.9302	2.97	3.35	6.32	11.16	14.43	16.6	15.5	1	1.329447119	1	0	0	0	0	62	-623275.8	-1165452.31
11	0.924	1.68	0.24	2.11	0.123851641	7	0.796	8.792	0.372912003	0.796574333	0.8	8.04	3	6.575	0.654228856	10.05	2.086359831	2.63748973	3.244771761	0.285557309	19.344	0.008	0.002	3.579	2	3.83	0.08263238	1	29	368	85	0.7513	0.5807	2.95	2.76	5.71	12.11	15.1	14.49	14.8	1	1.28603465	0	0	1	0	0	78	-624679.18	-1164330.44
12	2.055	1.12	0.18	0.84	0.187520721	6.222	1.333	4.667	0.127104798	0.814913181	0.79	6.52	3.22	7	0.848159509	8.253164557	1.959041392	2.64246452	3.3287872	0.388278863	19.855	0.016	0.003	4.867	3	3.61	0.099776057	0	38	356	45	0.9445	0.9346	1.97	4.66	6.63	17.65	9.83	25.69	17.37	0	0.709854804	0	0	1	0	0	75	-624740.9	-1164696.5
